L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT
14304,1612,36,6,30,45408,0,0,N,O,1998-01-07,1997-12-15,1998-01-28,TAKE BACK RETURN,MAIL," blithe accounts a"
14305,994,29,1,44,83380,0,0,N,O,1996-08-27,1996-09-12,1996-09-07,TAKE BACK RETURN,SHIP,nto the slyly unusual accounts. furio
14307,682,83,1,16,25323,0,0,N,O,1997-06-30,1997-07-25,1997-07-24,COLLECT COD,AIR,se theodolites are fur
14307,1453,93,2,47,63659,0,0,N,O,1997-07-11,1997-09-10,1997-07-24,COLLECT COD,MAIL,mong the carefully ironic accounts
14307,141,20,3,27,28111,0,0,N,O,1997-10-06,1997-08-01,1997-10-13,NONE,MAIL,"he slyly final packages detect "
14307,15,91,4,41,37515,0,0,N,O,1997-08-03,1997-08-19,1997-08-05,DELIVER IN PERSON,MAIL,es snooze furiously slyly sil
14307,945,46,5,15,27689,0,0,N,O,1997-08-19,1997-08-02,1997-08-20,NONE,REG AIR,. slyly regular
14308,1575,56,1,20,29531,0,0,N,O,1997-11-11,1997-11-05,1997-11-30,DELIVER IN PERSON,REG AIR,courts. carefully final accounts acco
14308,1111,84,2,46,46557,0,0,N,O,1997-10-17,1997-09-21,1997-11-11,DELIVER IN PERSON,RAIL,equests. slyly unusual instr
14308,1410,89,3,45,59013,0,0,N,O,1997-12-09,1997-10-09,1998-01-07,DELIVER IN PERSON,RAIL,"ully bold pinto beans. final,"
14310,505,66,1,42,59031,0,0,N,O,1997-09-24,1997-12-01,1997-10-08,NONE,SHIP,ly final theodolite
14337,892,26,1,25,44822,0,0,N,O,1997-10-17,1997-12-03,1997-11-12,COLLECT COD,SHIP,ven deposits a
14337,563,94,2,6,8781,0,0,N,O,1997-11-09,1997-12-08,1997-11-12,COLLECT COD,AIR,"nd the furiously "
14337,382,67,3,37,47448,0,0,N,O,1998-01-27,1997-12-11,1998-02-06,TAKE BACK RETURN,MAIL,osits. even ideas sleep blithely r
14337,692,86,4,50,79635,0,0,N,O,1998-01-07,1997-11-21,1998-01-08,COLLECT COD,RAIL,kly. ironic packages x-ray slyly agains
14337,83,84,5,18,17695,0,0,N,O,1997-11-20,1997-12-15,1997-12-15,NONE,REG AIR,equests. permanent packag
14337,1933,22,6,25,45873,0,0,N,O,1998-01-26,1997-12-06,1998-02-23,COLLECT COD,AIR,ent accounts cajole carefull
14337,1854,98,7,23,40385,0,0,N,O,1997-10-27,1997-12-28,1997-11-20,COLLECT COD,REG AIR,are blithely bold reque
14339,1162,63,1,34,36147,0,0,N,O,1997-08-05,1997-10-21,1997-08-24,TAKE BACK RETURN,REG AIR,kages. slyly express p
14339,1980,13,2,28,52695,0,0,N,O,1997-10-24,1997-10-20,1997-11-18,COLLECT COD,MAIL," foxes haggle. fluffily ironic p"
14339,1830,31,3,28,48491,0,0,N,O,1997-07-28,1997-08-29,1997-08-01,TAKE BACK RETURN,SHIP,"ng to the enticing, unusual p"
14339,1877,21,4,14,24904,0,0,N,O,1997-08-15,1997-10-21,1997-09-02,TAKE BACK RETURN,MAIL,uriously ironic theodol
14339,612,44,5,34,51429,0,0,N,O,1997-10-28,1997-09-06,1997-11-12,NONE,REG AIR,"he foxes. "
14340,1509,30,1,17,23979,0,0,N,O,1996-01-30,1995-12-08,1996-02-27,TAKE BACK RETURN,TRUCK,"ronic pinto beans wake closely requests. "
14340,469,57,2,29,39714,0,0,N,O,1996-01-29,1995-11-15,1996-02-01,DELIVER IN PERSON,FOB,ag. ironic packages across the furiou
14340,1016,22,3,50,45851,0,0,N,O,1996-01-05,1995-12-05,1996-01-27,COLLECT COD,TRUCK,o beans. sly
14340,229,11,4,18,20326,0,0,N,O,1996-01-08,1995-12-22,1996-02-01,COLLECT COD,AIR,out the even pi
14343,1015,51,1,13,11908,0,0,N,O,1996-04-25,1996-04-24,1996-05-19,TAKE BACK RETURN,MAIL,ly ironic packages breach unus
14343,1147,84,2,44,46118,0,0,N,O,1996-04-23,1996-05-21,1996-05-15,COLLECT COD,SHIP,r accounts sublate about the carefully ir
14369,1271,83,1,45,52752,0,0,N,O,1996-12-04,1997-02-20,1996-12-09,NONE,MAIL,"sly bold platelets are fluffily "
14369,1516,57,2,46,65205,0,0,N,O,1997-03-17,1997-01-01,1997-04-06,NONE,SHIP,refully even accounts cajole furious
14369,410,11,3,34,44554,0,0,N,O,1997-01-20,1997-01-25,1997-01-28,COLLECT COD,REG AIR,eas. permanent instructio
14369,1997,98,4,35,66465,0,0,N,O,1997-01-20,1997-02-06,1997-01-30,DELIVER IN PERSON,AIR,en ideas. regul
14369,170,23,5,33,35316,0,0,N,O,1997-03-17,1997-01-25,1997-04-05,NONE,MAIL,egular requests after the reque
14369,1477,17,6,11,15163,0,0,N,O,1996-12-05,1997-01-03,1996-12-14,TAKE BACK RETURN,SHIP,egrate abou
14370,82,83,1,44,43212,0,0,N,O,1997-07-30,1997-07-28,1997-08-19,DELIVER IN PERSON,MAIL,osits boost b
14370,310,39,2,38,45992,0,0,N,O,1997-07-06,1997-06-26,1997-07-17,COLLECT COD,FOB,phs after the express foxes use slyly bo
14370,289,17,3,42,49950,0,0,N,O,1997-07-01,1997-06-27,1997-07-08,DELIVER IN PERSON,AIR,the pending packages. blithely ironic in
14370,579,70,4,12,17755,0,0,N,O,1997-07-22,1997-06-03,1997-07-26,COLLECT COD,TRUCK,aring requests. foxes ha
14403,1306,83,1,48,57950,0,0,N,O,1998-03-25,1998-05-21,1998-04-04,COLLECT COD,SHIP,"al pearls. blithely "
14403,842,9,2,33,57514,0,0,N,O,1998-07-01,1998-05-09,1998-07-20,NONE,TRUCK,eas sleep carefully. theodolites impress. i
14403,1375,76,3,7,8935,0,0,N,O,1998-06-25,1998-05-12,1998-07-18,DELIVER IN PERSON,AIR,"lyly ironic asymptotes. fluffily regular "
14404,1431,71,1,39,51965,0,0,N,O,1996-12-25,1996-12-31,1997-01-11,DELIVER IN PERSON,SHIP,r pending pinto beans.
14404,1612,36,2,32,48436,0,0,N,O,1997-02-14,1996-12-24,1997-03-11,DELIVER IN PERSON,RAIL,e to are f
14404,1452,92,3,31,41957,0,0,N,O,1997-01-22,1996-12-15,1997-02-18,TAKE BACK RETURN,TRUCK,"ronic, final deposit"
14404,873,40,4,40,70955,0,0,N,O,1997-01-16,1997-01-18,1997-01-22,DELIVER IN PERSON,MAIL,odolites across the carefully regu
14404,44,70,5,41,38706,0,0,N,O,1996-11-18,1997-01-29,1996-11-22,TAKE BACK RETURN,REG AIR,ly blithely final packag
14404,751,52,6,33,54508,0,0,N,O,1997-02-16,1996-12-05,1997-02-23,COLLECT COD,MAIL,oss the requests boost slyly fu
14404,354,83,7,42,52683,0,0,N,O,1997-02-14,1997-01-20,1997-03-11,TAKE BACK RETURN,RAIL,s. slyly iro
14405,1107,8,1,36,36292,0,0,N,O,1996-06-26,1996-06-14,1996-06-29,COLLECT COD,SHIP,the silent requests. regular dep
14405,563,54,2,17,24881,0,0,N,O,1996-07-29,1996-06-30,1996-08-28,NONE,AIR,egular requests ar
14405,1885,72,3,20,35738,0,0,N,O,1996-07-05,1996-06-26,1996-07-08,COLLECT COD,FOB,ag blithely. care
14432,168,95,1,42,44863,0,0,N,O,1997-01-18,1997-01-20,1997-01-19,NONE,REG AIR,bout the slow
14433,1297,9,1,46,55121,0,0,N,O,1996-05-20,1996-07-26,1996-06-08,DELIVER IN PERSON,SHIP," the blithe, regular foxes boost "
14433,1876,77,2,9,16001,0,0,N,O,1996-08-13,1996-08-06,1996-08-17,TAKE BACK RETURN,RAIL,carefully. packag
14433,1607,8,3,5,7543,0,0,N,O,1996-08-24,1996-07-31,1996-09-07,TAKE BACK RETURN,AIR,re. slyly re
14433,1832,33,4,40,69353,0,0,N,O,1996-08-02,1996-07-10,1996-08-22,TAKE BACK RETURN,REG AIR,"xes haggle "
14433,1959,4,5,5,9305,0,0,N,O,1996-07-28,1996-06-15,1996-08-02,COLLECT COD,FOB,c foxes slee
14433,1435,53,6,40,53457,0,0,N,O,1996-07-10,1996-07-10,1996-08-02,COLLECT COD,SHIP,"as. pending dolphins sleep after the "
14464,1710,11,1,29,46740,0,0,N,O,1998-05-08,1998-04-19,1998-05-16,TAKE BACK RETURN,SHIP,"as against the bold, "
14466,1302,79,1,17,20456,0,0,N,O,1996-08-21,1996-06-26,1996-09-15,COLLECT COD,RAIL,regular pin
14467,1724,25,1,16,26012,0,0,N,O,1996-07-20,1996-07-10,1996-08-08,COLLECT COD,MAIL,g dependencies. reque
14467,1747,32,2,44,72545,0,0,N,O,1996-08-17,1996-08-24,1996-08-20,COLLECT COD,SHIP,s. carefully regular packages affix acc
14467,1991,24,3,24,45432,0,0,N,O,1996-09-13,1996-07-20,1996-10-07,COLLECT COD,REG AIR,ckages haggle slyly quickly iron
14467,1234,46,4,15,17028,0,0,N,O,1996-06-02,1996-08-13,1996-06-22,COLLECT COD,FOB," slyly careful"
14468,924,25,1,10,18249,0,0,N,O,1998-07-27,1998-09-26,1998-08-18,DELIVER IN PERSON,TRUCK,"inal theodolites. carefully express "
14468,977,12,2,23,43193,0,0,N,O,1998-07-22,1998-10-07,1998-08-14,DELIVER IN PERSON,RAIL,the blithely fi
14469,741,74,1,19,31193,0,0,N,O,1997-06-02,1997-04-23,1997-07-01,NONE,TRUCK,d pinto beans cajole fluffily fluffil
14469,1707,8,2,33,53087,0,0,N,O,1997-05-05,1997-04-09,1997-05-14,DELIVER IN PERSON,SHIP,"deposits cajole doggedly sly, s"
14496,1274,12,1,22,25856,0,0,N,O,1996-05-20,1996-06-25,1996-06-08,NONE,AIR,"sits might "
14496,1422,1,2,27,35732,0,0,N,O,1996-07-14,1996-05-27,1996-08-03,DELIVER IN PERSON,AIR,g the blithely special t
14496,1934,23,3,48,88125,0,0,N,O,1996-06-14,1996-05-22,1996-07-04,COLLECT COD,AIR,riously ironic pinto beans sleep ironica
14496,1143,16,4,9,9397,0,0,N,O,1996-08-06,1996-06-30,1996-08-10,DELIVER IN PERSON,MAIL,"lphins across the "
14496,1849,50,5,29,50774,0,0,N,O,1996-05-26,1996-06-27,1996-05-30,TAKE BACK RETURN,MAIL,es haggle quickly pending
14498,149,76,1,5,5246,0,0,N,O,1996-11-17,1997-01-02,1996-12-04,DELIVER IN PERSON,SHIP,ges are. ideas haggle
14498,1403,21,2,23,30001,0,0,N,O,1996-10-14,1996-11-21,1996-11-04,NONE,FOB,y even packages. bli
14498,942,45,3,10,18429,0,0,N,O,1996-10-28,1996-11-06,1996-11-12,DELIVER IN PERSON,FOB,"c, final platelets. quickly special packag"
14498,811,78,4,14,23965,0,0,N,O,1996-11-26,1996-12-24,1996-12-22,TAKE BACK RETURN,REG AIR,lthily express deposits. furious
14498,1853,40,5,7,12284,0,0,N,O,1996-10-31,1996-12-16,1996-11-03,COLLECT COD,AIR,to beans are slyly. c
14498,1520,61,6,20,28430,0,0,N,O,1996-11-17,1996-12-19,1996-12-02,NONE,AIR,s. furiously fina
14498,644,7,7,40,61786,0,0,N,O,1996-12-24,1996-11-06,1997-01-01,NONE,FOB,"iers. unusual "
14501,1160,97,1,33,35018,0,0,N,O,1997-10-20,1997-10-10,1997-11-13,DELIVER IN PERSON,MAIL,lly after th
14501,1362,39,2,36,45481,0,0,N,O,1997-12-04,1997-11-10,1997-12-17,NONE,AIR,fully slow asymptotes play furiously? pendi
14502,563,24,1,33,48297,0,0,N,O,1996-11-11,1996-10-05,1996-12-05,TAKE BACK RETURN,RAIL,xpress deposits
14502,1891,92,2,26,46615,0,0,N,O,1996-09-09,1996-10-05,1996-09-14,NONE,MAIL," final foxes nag. furiously bold warh"
14531,31,82,1,47,43758,0,0,N,O,1997-07-17,1997-07-23,1997-07-18,COLLECT COD,MAIL,luffily regular package
14531,891,91,2,34,60924,0,0,N,O,1997-07-11,1997-07-11,1997-08-02,DELIVER IN PERSON,SHIP,"oxes sleep quickly even, regular p"
14531,1652,76,3,45,69914,0,0,N,O,1997-08-22,1997-09-05,1997-09-13,TAKE BACK RETURN,MAIL,ng theodolites try to run
14531,734,99,4,34,55581,0,0,N,O,1997-10-05,1997-08-21,1997-10-27,TAKE BACK RETURN,RAIL,c foxes alo
14532,812,46,1,9,15415,0,0,N,O,1996-07-19,1996-06-21,1996-08-16,DELIVER IN PERSON,FOB,ely packages. carefully ironi
14533,115,16,1,19,19287,0,0,N,O,1996-08-27,1996-07-21,1996-08-29,NONE,SHIP,ic accounts. furiously b
14533,793,26,2,4,6775,0,0,N,O,1996-05-31,1996-06-20,1996-06-28,TAKE BACK RETURN,TRUCK,ggle across the ironic p
14533,1884,85,3,36,64292,0,0,N,O,1996-06-21,1996-07-08,1996-07-04,NONE,FOB,"into beans. even, "
14533,989,24,4,8,15120,0,0,N,O,1996-06-06,1996-07-17,1996-06-19,COLLECT COD,RAIL,ly express somas under t
14533,276,77,5,17,19997,0,0,N,O,1996-06-30,1996-07-08,1996-07-05,NONE,FOB,"kages across the fluffily "
14533,1495,96,6,27,37705,0,0,N,O,1996-07-21,1996-07-08,1996-08-13,NONE,REG AIR," quickly; unusual accounts"
14560,1466,6,1,24,32819,0,0,N,O,1998-01-29,1998-02-07,1998-02-16,COLLECT COD,AIR,refully fluffily express ideas. final p
14561,1168,77,1,50,53458,0,0,N,O,1998-08-02,1998-08-15,1998-08-05,DELIVER IN PERSON,REG AIR,hins hinder ironi
14561,1809,53,2,9,15397,0,0,N,O,1998-09-02,1998-09-09,1998-09-15,COLLECT COD,MAIL,thely after the express instr
14561,62,13,3,29,27900,0,0,N,O,1998-10-13,1998-08-09,1998-10-16,DELIVER IN PERSON,FOB,inal requests. furiously ironic packa
14561,390,91,4,48,61939,0,0,N,O,1998-08-11,1998-08-10,1998-08-13,NONE,FOB,ully. slyly unusual theodolites use;
14561,171,24,5,21,22495,0,0,N,O,1998-07-12,1998-08-29,1998-07-13,COLLECT COD,MAIL,uriously fluffily regular requests. asy
14561,1361,62,6,36,45445,0,0,N,O,1998-07-29,1998-09-08,1998-08-04,TAKE BACK RETURN,SHIP,regular requests poach. always regular
14561,740,73,7,25,41019,0,0,N,O,1998-08-17,1998-08-24,1998-09-02,NONE,FOB,sleep blithely ironic depths. furiously f
14562,1579,80,1,13,19247,0,0,N,O,1996-11-12,1996-10-11,1996-11-21,COLLECT COD,SHIP,out the quickly specia
14562,1381,82,2,36,46166,0,0,N,O,1996-07-25,1996-09-27,1996-08-16,NONE,RAIL," slyly. blithely final "
14562,1393,70,3,17,22005,0,0,N,O,1996-08-19,1996-08-29,1996-09-17,NONE,RAIL,"arefully regular requests. slyly special "
14562,1457,36,4,50,67923,0,0,N,O,1996-11-06,1996-08-28,1996-12-03,DELIVER IN PERSON,REG AIR," after the furiously"
14563,1436,54,1,31,41460,0,0,N,O,1996-02-05,1996-01-04,1996-02-23,TAKE BACK RETURN,AIR,r packages haggle. ironic ideas ca
14563,822,56,2,44,75804,0,0,N,O,1996-02-06,1996-01-24,1996-03-05,NONE,SHIP,kly final instructions. furiously regular
14563,1787,30,3,30,50663,0,0,N,O,1996-03-01,1996-01-26,1996-03-04,DELIVER IN PERSON,FOB," the final requests! regular"
14563,1764,7,4,32,53304,0,0,N,O,1996-02-05,1996-01-19,1996-02-21,NONE,TRUCK," slyly even warthogs haggle."
14563,1875,76,5,10,17769,0,0,N,O,1996-03-11,1996-01-02,1996-04-05,TAKE BACK RETURN,FOB,fully special
14565,368,53,1,33,41856,0,0,N,O,1998-01-31,1998-02-05,1998-02-24,TAKE BACK RETURN,FOB,"gular, regular dependencies doubt f"
14565,1853,40,2,5,8774,0,0,N,O,1998-01-04,1998-02-05,1998-01-30,DELIVER IN PERSON,SHIP,ages nag regular requests
14566,1701,2,1,25,40068,0,0,N,O,1997-01-29,1997-01-18,1997-02-12,NONE,FOB,quickly pend
14566,878,79,2,22,39135,0,0,N,O,1996-12-17,1997-01-10,1996-12-29,DELIVER IN PERSON,TRUCK,dependencie
14566,808,42,3,14,23923,0,0,N,O,1996-12-25,1996-12-10,1997-01-15,DELIVER IN PERSON,REG AIR,yly carefull
14566,1906,95,4,28,50621,0,0,N,O,1997-01-25,1997-01-06,1997-02-05,DELIVER IN PERSON,TRUCK,ters are. bravely ironi
14566,6,57,5,40,36240,0,0,N,O,1997-02-01,1997-01-07,1997-02-10,DELIVER IN PERSON,FOB,egular theodol
14566,617,80,6,20,30352,0,0,N,O,1996-11-09,1997-01-06,1996-11-30,DELIVER IN PERSON,FOB,lites. fluffily express courts alongside o
14566,1317,18,7,3,3655,0,0,N,O,1996-11-03,1996-12-01,1996-11-18,COLLECT COD,TRUCK,nder. furi
14567,816,50,1,19,32619,0,0,N,O,1996-11-03,1997-01-05,1996-11-30,NONE,AIR,e. even deposits haggle slyly quic
14567,1451,30,2,46,62213,0,0,N,O,1996-11-21,1997-01-05,1996-12-03,COLLECT COD,MAIL,? deposits cajole agai
14567,99,75,3,7,6994,0,0,N,O,1997-01-02,1996-11-18,1997-01-21,DELIVER IN PERSON,TRUCK,", even dugo"
14567,1401,41,4,6,7814,0,0,N,O,1996-12-31,1996-12-28,1997-01-25,DELIVER IN PERSON,SHIP,ly even accounts. evenly final platelet
14567,208,9,5,31,34354,0,0,N,O,1996-10-29,1996-11-24,1996-11-20,NONE,MAIL,"he slowly "
14567,1790,75,6,13,21993,0,0,N,O,1997-01-05,1997-01-13,1997-01-23,NONE,REG AIR,"y regular platelets. "
14567,1062,33,7,16,15409,0,0,N,O,1996-11-17,1996-11-28,1996-11-22,COLLECT COD,TRUCK,platelets. blithel
14593,266,48,1,8,9330,0,0,N,O,1998-02-02,1998-04-05,1998-03-03,NONE,SHIP,ncies. pending packages ab
14593,142,43,2,6,6253,0,0,N,O,1998-03-20,1998-04-01,1998-04-12,COLLECT COD,MAIL,unusual pinto
14593,121,100,3,44,44929,0,0,N,O,1998-04-20,1998-04-01,1998-04-21,COLLECT COD,MAIL,"s according to the regular, ironic"
14595,1669,52,1,20,31413,0,0,N,O,1998-01-11,1998-02-27,1998-02-10,TAKE BACK RETURN,FOB,osits nag sly
14598,1504,25,1,43,60437,0,0,N,O,1998-05-30,1998-04-13,1998-06-19,NONE,TRUCK,en foxes sleep. furiousl
14598,1383,60,2,35,44953,0,0,N,O,1998-05-23,1998-03-17,1998-06-19,TAKE BACK RETURN,RAIL,regular requests sleep slow
14598,190,91,3,40,43608,0,0,N,O,1998-03-05,1998-03-17,1998-03-17,TAKE BACK RETURN,MAIL," slyly bra"
14598,1370,47,4,13,16528,0,0,N,O,1998-03-30,1998-04-19,1998-04-08,COLLECT COD,REG AIR,ndencies cajole
14598,573,64,5,7,10315,0,0,N,O,1998-03-18,1998-04-28,1998-04-02,DELIVER IN PERSON,AIR,lithely even dependencie
14624,1991,24,1,12,22716,0,0,N,O,1998-07-16,1998-06-28,1998-08-15,NONE,AIR," after the pending deposit"
14624,859,59,2,35,61595,0,0,N,O,1998-06-18,1998-05-28,1998-06-25,DELIVER IN PERSON,RAIL,ly even deposits. fluffily unus
14624,848,48,3,21,36726,0,0,N,O,1998-06-23,1998-06-14,1998-06-25,DELIVER IN PERSON,FOB,ly special requests. fluffily reg
14624,1040,76,4,36,33877,0,0,N,O,1998-08-12,1998-05-24,1998-09-01,TAKE BACK RETURN,TRUCK,ess packages. furiously special acco
14624,1632,56,5,24,36807,0,0,N,O,1998-07-12,1998-06-27,1998-07-29,DELIVER IN PERSON,REG AIR,"phins. final, ironic multipliers "
14624,866,100,6,5,8834,0,0,N,O,1998-07-05,1998-06-22,1998-07-12,TAKE BACK RETURN,REG AIR,"ng dependencies against "
14624,760,93,7,6,9965,0,0,N,O,1998-05-07,1998-07-06,1998-05-26,TAKE BACK RETURN,MAIL,onic requests maintain along
14626,610,4,1,4,6042,0,0,N,O,1997-10-27,1997-09-26,1997-11-02,NONE,SHIP,requests. careful
14626,1882,83,2,19,33894,0,0,N,O,1997-09-04,1997-09-14,1997-09-23,DELIVER IN PERSON,SHIP,"blithely slyly ironic "
14626,1316,17,3,30,36519,0,0,N,O,1997-08-23,1997-10-06,1997-09-04,NONE,RAIL,gular excuses. slyly pendin
14626,128,81,4,41,42153,0,0,N,O,1997-08-14,1997-09-27,1997-08-18,COLLECT COD,TRUCK," packages wake slyly si"
14631,1590,91,1,14,20882,0,0,N,O,1997-06-01,1997-07-12,1997-06-22,COLLECT COD,FOB,arefully bold deposits are slyly acr
14631,629,30,2,9,13767,0,0,N,O,1997-05-01,1997-07-02,1997-05-19,TAKE BACK RETURN,FOB,"ges around the furiously special requests "
14656,596,97,1,21,31428,0,0,N,O,1998-01-23,1997-12-23,1998-02-15,DELIVER IN PERSON,AIR,lar deposits. fluffily regular accounts w
14659,737,2,1,47,76973,0,0,N,O,1998-03-28,1998-04-22,1998-03-30,TAKE BACK RETURN,SHIP," ironic, unu"
14659,1726,69,2,18,29299,0,0,N,O,1998-06-08,1998-05-01,1998-06-20,TAKE BACK RETURN,FOB,"ites. carefully "
14659,453,54,3,16,21655,0,0,N,O,1998-05-06,1998-04-27,1998-05-22,COLLECT COD,TRUCK,"s cajole carefully above the "
14659,876,43,4,11,19546,0,0,N,O,1998-06-01,1998-05-04,1998-06-05,COLLECT COD,REG AIR,sleep finally fo
14660,1259,34,1,48,55692,0,0,N,O,1997-06-10,1997-07-02,1997-06-19,COLLECT COD,SHIP,accounts. slyly clos
14660,450,9,2,12,16205,0,0,N,O,1997-08-26,1997-08-09,1997-09-05,NONE,REG AIR,dolites are furiously. slyly ironic accou
14660,46,97,3,8,7568,0,0,N,O,1997-06-20,1997-08-10,1997-06-27,NONE,FOB,ymptotes haggl
14660,1721,48,4,39,63286,0,0,N,O,1997-06-07,1997-08-20,1997-07-06,DELIVER IN PERSON,REG AIR,en requests. the
14662,701,66,1,17,27229,0,0,N,O,1996-01-08,1995-12-22,1996-01-21,TAKE BACK RETURN,TRUCK,across the c
14662,701,98,2,4,6407,0,0,N,O,1996-01-05,1996-01-01,1996-01-20,TAKE BACK RETURN,TRUCK,lent requests integr
14662,1315,16,4,18,21894,0,0,N,O,1996-02-15,1995-12-31,1996-02-19,TAKE BACK RETURN,AIR,unts. express pinto beans c
14662,1131,40,6,41,42317,0,0,N,O,1996-02-18,1996-01-13,1996-03-09,TAKE BACK RETURN,AIR,he fluffily regular Ti
14688,13,89,1,11,10043,0,0,N,O,1997-06-19,1997-04-04,1997-07-09,COLLECT COD,FOB,ies are express packages. unusual
14688,656,88,2,20,31133,0,0,N,O,1997-02-19,1997-04-11,1997-03-08,DELIVER IN PERSON,SHIP,ages along the carefully idle requests wa
14688,1731,58,3,10,16327,0,0,N,O,1997-03-14,1997-04-22,1997-04-05,COLLECT COD,AIR,riously even packages sleep a
14688,817,51,4,40,68712,0,0,N,O,1997-04-08,1997-04-06,1997-05-07,DELIVER IN PERSON,SHIP,ruthless packages. furiously special instru
14689,982,51,1,29,54606,0,0,N,O,1998-08-22,1998-09-11,1998-09-09,NONE,TRUCK,ly bold theodolites. t
14689,1484,24,2,6,8313,0,0,N,O,1998-08-30,1998-10-19,1998-09-01,COLLECT COD,FOB,tes are quickly regular packages. bold dep
14689,899,66,3,3,5400,0,0,N,O,1998-09-17,1998-10-21,1998-09-27,DELIVER IN PERSON,SHIP,"hy requests. unusual, special cou"
14690,874,74,1,23,40822,0,0,N,O,1997-09-16,1997-07-31,1997-10-03,COLLECT COD,SHIP," pinto beans. ironic platele"
14691,297,25,1,23,27538,0,0,N,O,1998-06-21,1998-05-28,1998-06-28,DELIVER IN PERSON,MAIL,gedly regular ac
14691,451,52,2,42,56761,0,0,N,O,1998-07-26,1998-07-07,1998-08-01,DELIVER IN PERSON,SHIP,hlessly final requests-- unusual t
14692,1264,39,1,18,20975,0,0,N,O,1996-06-17,1996-05-15,1996-07-07,NONE,REG AIR,es alongside of the accounts nag according
14692,241,96,2,30,34237,0,0,N,O,1996-05-16,1996-03-29,1996-05-20,NONE,SHIP,arefully always even accounts.
14694,503,4,1,45,63158,0,0,N,O,1998-11-21,1998-10-22,1998-11-26,DELIVER IN PERSON,SHIP,"r, express packages wake. furiously re"
14694,1645,46,2,17,26293,0,0,N,O,1998-11-01,1998-10-06,1998-11-04,DELIVER IN PERSON,TRUCK,slyly regular foxes. carefully regular
14694,1232,44,3,47,53262,0,0,N,O,1998-09-22,1998-10-13,1998-10-10,DELIVER IN PERSON,SHIP," the unusual "
14694,20,46,4,33,30361,0,0,N,O,1998-08-11,1998-09-06,1998-09-10,DELIVER IN PERSON,AIR,rts. slyly even pinto
14694,1728,13,5,22,35854,0,0,N,O,1998-09-23,1998-08-30,1998-10-13,COLLECT COD,REG AIR,arefully special excuses. blit
14694,714,15,6,40,64588,0,0,N,O,1998-10-06,1998-10-03,1998-10-14,COLLECT COD,FOB,venly special requ
14694,1243,81,7,44,50347,0,0,N,O,1998-11-09,1998-10-25,1998-11-21,NONE,SHIP,the quickly express pinto beans. stealthi
14721,1296,97,1,39,46694,0,0,N,O,1997-07-31,1997-07-28,1997-08-18,TAKE BACK RETURN,REG AIR,ely alongside of the unusual deposits!
14721,1518,59,2,37,52522,0,0,N,O,1997-07-06,1997-06-04,1997-07-28,TAKE BACK RETURN,RAIL,"eodolites detect carefully ironic pinto "
14721,790,87,3,21,35507,0,0,N,O,1997-06-03,1997-07-21,1997-06-16,NONE,AIR,e blithely sly accounts nag quickly abo
14721,1417,57,4,23,30323,0,0,N,O,1997-05-31,1997-07-08,1997-06-16,COLLECT COD,AIR,ess pinto beans cajo
14721,1334,49,5,3,3706,0,0,N,O,1997-08-16,1997-07-30,1997-09-06,COLLECT COD,MAIL,"lar accounts. blithely ironic "
14722,794,91,1,49,83045,0,0,N,O,1997-07-18,1997-07-14,1997-07-31,DELIVER IN PERSON,REG AIR,ests. unusual requests dete
14722,286,41,2,35,41520,0,0,N,O,1997-06-14,1997-07-31,1997-07-14,NONE,REG AIR,"thely according to the "
14722,129,30,3,49,50427,0,0,N,O,1997-08-11,1997-08-01,1997-08-12,TAKE BACK RETURN,SHIP,low foxes. bold deposits against
14722,1395,34,4,46,59634,0,0,N,O,1997-05-29,1997-07-28,1997-06-20,COLLECT COD,REG AIR,lyly ironic multi
14722,1445,85,5,25,33661,0,0,N,O,1997-09-08,1997-08-11,1997-10-05,NONE,AIR,ar requests. even platelets thrash blithely
14723,286,14,1,34,40334,0,0,N,O,1997-01-16,1997-03-17,1997-02-10,COLLECT COD,TRUCK,ironic accoun
14724,1302,17,1,36,43319,0,0,N,O,1996-02-06,1996-02-04,1996-02-11,COLLECT COD,MAIL," regular pinto "
14753,421,22,1,23,30393,0,0,N,O,1997-01-13,1997-02-16,1997-01-23,DELIVER IN PERSON,SHIP,ptotes against the carefully pending pinto
14753,615,47,2,2,3031,0,0,N,O,1997-04-11,1997-03-31,1997-05-03,NONE,TRUCK,sleep quickly against the
14753,1552,73,3,10,14536,0,0,N,O,1997-02-02,1997-03-19,1997-02-03,TAKE BACK RETURN,FOB,ccounts. ironic instructions are fluf
14754,251,33,1,18,20723,0,0,N,O,1996-07-17,1996-08-27,1996-08-10,DELIVER IN PERSON,SHIP,"usly final depths wake "
14754,1029,35,2,8,7440,0,0,N,O,1996-08-23,1996-08-28,1996-09-03,COLLECT COD,MAIL,"sleep carefully according to the regular "
14754,487,75,3,12,16650,0,0,N,O,1996-06-30,1996-09-07,1996-07-16,TAKE BACK RETURN,MAIL,ests cajole fina
14754,1396,97,4,3,3892,0,0,N,O,1996-08-16,1996-08-17,1996-08-30,COLLECT COD,MAIL,as. quickly ir
